Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
11/12/2025 21:26,239.8,0.859,93.5,0.00013,ON
11/12/2025 21:26,239.8,0.859,93.5,0.00026,ON
11/12/2025 21:27,239.8,0.859,93.5,0.00039,ON
11/12/2025 21:27,239.8,0.859,93.5,0.000519,ON
11/12/2025 21:27,239.8,0.859,93.5,0.000649,ON
11/12/2025 21:27,239.8,0.859,93.5,0.000779,ON
11/12/2025 21:27,239.8,0.859,93.5,0.000909,ON
11/12/2025 21:27,239.8,0.859,93.5,0.001039,ON
11/12/2025 21:27,239.8,0.859,93.5,0.001169,ON
11/12/2025 21:27,239.8,0.859,93.5,0.001299,ON
11/12/2025 21:27,239.8,0.859,93.5,0.001428,ON
11/12/2025 21:27,239.8,0.859,93.5,0.001558,ON
11/12/2025 21:28,239.8,0.859,93.5,0.001688,ON
11/12/2025 21:28,239.8,0.859,93.5,0.001818,ON
11/12/2025 21:28,239.8,0.859,93.5,0.001948,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002078,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002208,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002338,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002467,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002597,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002727,ON
11/12/2025 21:28,239.8,0.859,93.5,0.002857,ON
11/12/2025 21:29,239.8,0.859,93.5,0.002987,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003117,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003247,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003376,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003506,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003636,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003766,ON
11/12/2025 21:29,239.8,0.859,93.5,0.003896,ON
11/12/2025 21:29,239.8,0.859,93.5,0.004026,ON
11/12/2025 21:29,239.8,0.859,93.5,0.004156,ON
11/12/2025 21:29,239.8,0.859,93.5,0.004285,ON
11/12/2025 21:30,239.8,0.859,93.5,0.004415,ON
11/12/2025 21:30,239.8,0.859,93.5,0.004545,ON
11/12/2025 21:30,239.8,0.859,93.5,0.004675,ON
11/12/2025 21:30,239.8,0.859,93.5,0.004805,ON
11/12/2025 21:30,239.8,0.859,93.5,0.004935,ON
11/12/2025 21:30,239.8,0.859,93.5,0.005065,ON
11/12/2025 21:30,239.8,0.859,93.5,0.005194,ON
11/12/2025 21:30,239.8,0.859,93.5,0.005324,ON
11/12/2025 21:30,239.8,0.859,93.5,0.005454,ON
11/12/2025 21:30,239.8,0.859,93.5,0.005584,ON
11/12/2025 21:31,239.8,0.859,93.5,0.005714,ON
11/12/2025 21:31,239.8,0.859,93.5,0.005844,ON
11/12/2025 21:31,239.8,0.859,93.5,0.005974,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006103,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006233,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006363,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006493,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006623,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006753,ON
11/12/2025 21:31,239.8,0.859,93.5,0.006883,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007012,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007142,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007272,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007402,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007532,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007662,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007792,ON
11/12/2025 21:32,239.8,0.859,93.5,0.007922,ON
11/12/2025 21:32,239.8,0.859,93.5,0.008051,ON
11/12/2025 21:32,239.8,0.859,93.5,0.008181,ON
11/12/2025 21:33,239.8,0.859,93.5,0.008311,ON
11/12/2025 21:33,239.8,0.859,93.5,0.008441,ON
11/12/2025 21:33,239.8,0.859,93.5,0.008571,ON
11/12/2025 21:33,239.8,0.859,93.5,0.008701,ON
11/12/2025 21:33,239.8,0.859,93.5,0.008831,ON
11/12/2025 21:33,239.8,0.859,93.5,0.00896,ON
11/12/2025 21:33,239.8,0.859,93.5,0.00909,ON
11/12/2025 21:33,239.8,0.859,93.5,0.00922,ON
11/12/2025 21:33,239.8,0.859,93.5,0.00935,ON
11/12/2025 21:34,239.8,0.859,93.5,0.00948,ON
11/12/2025 21:34,239.8,0.859,93.5,0.00961,ON
11/12/2025 21:34,239.8,0.859,93.5,0.00974,ON
11/12/2025 21:34,239.8,0.859,93.5,0.009869,ON
11/12/2025 21:34,239.8,0.859,93.5,0.009999,ON
11/12/2025 21:34,239.8,0.859,93.5,0.010129,ON
11/12/2025 21:34,239.8,0.859,93.5,0.010259,ON
11/12/2025 21:34,239.8,0.859,93.5,0.010389,ON
11/12/2025 21:34,239.8,0.859,93.5,0.010519,ON
11/12/2025 21:34,239.8,0.859,93.5,0.010649,ON
11/12/2025 21:35,239.8,0.859,93.5,0.010778,ON
11/12/2025 21:35,239.8,0.859,93.5,0.010908,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011038,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011168,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011298,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011428,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011558,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011688,ON
11/12/2025 21:35,239.8,0.859,93.5,0.011817,ON
11/12/2025 21:36,239.8,0.859,93.5,0.011947,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012077,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012207,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012337,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012467,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012597,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012726,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012856,ON
11/12/2025 21:36,239.8,0.859,93.5,0.012986,ON
11/12/2025 21:36,239.8,0.859,93.5,0.013116,ON
11/12/2025 21:37,239.8,0.859,93.5,0.013246,ON
11/12/2025 21:37,239.8,0.859,93.5,0.013376,ON
11/12/2025 21:37,239.8,0.859,93.5,0.013506,ON
11/12/2025 21:37,239.8,0.859,93.5,0.013635,ON
11/12/2025 21:37,239.8,0.859,93.5,0.013765,ON
11/12/2025 21:37,239.8,0.859,93.5,0.013895,ON
11/12/2025 21:37,239.8,0.859,93.5,0.014025,ON
11/12/2025 21:37,239.8,0.859,93.5,0.014155,ON
11/12/2025 21:37,239.8,0.859,93.5,0.014285,ON
11/12/2025 21:38,239.8,0.859,93.5,0.014415,ON
11/12/2025 21:38,239.8,0.859,93.5,0.014544,ON
11/12/2025 21:38,239.8,0.859,93.5,0.014674,ON
11/12/2025 21:38,239.8,0.859,93.5,0.014804,ON
11/12/2025 21:38,239.8,0.859,93.5,0.014934,ON
11/12/2025 21:38,239.8,0.859,93.5,0.015064,ON
11/12/2025 21:38,239.8,0.859,93.5,0.015194,ON
11/12/2025 21:38,239.8,0.859,93.5,0.015324,ON
11/12/2025 21:38,239.8,0.859,93.5,0.015453,ON
11/12/2025 21:38,239.8,0.859,93.5,0.015583,ON
11/12/2025 21:39,239.8,0.859,93.5,0.015713,ON
11/12/2025 21:39,239.8,0.859,93.5,0.015843,ON
11/12/2025 21:39,239.8,0.859,93.5,0.015973,ON
11/12/2025 21:39,239.8,0.859,93.5,0.016103,ON
11/12/2025 21:39,239.8,0.859,93.5,0.016233,ON
11/12/2025 21:39,239.8,0.859,93.5,0.016363,ON
11/12/2025 21:39,239.8,0.859,93.5,0.016492,ON
11/12/2025 21:39,239.8,0.859,93.5,0.016622,ON
11/12/2025 21:39,239.8,0.859,93.5,0.016752,ON
11/12/2025 21:40,239.8,0.859,93.5,0.016882,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017012,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017142,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017272,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017401,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017531,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017661,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017791,ON
11/12/2025 21:40,239.8,0.859,93.5,0.017921,ON
11/12/2025 21:40,239.8,0.859,93.5,0.018051,ON
11/12/2025 21:41,239.8,0.859,93.5,0.018181,ON
11/12/2025 21:41,239.8,0.859,93.5,0.01831,OFF
11/12/2025 21:41,239.8,0.859,93.5,0.01844,OFF
11/12/2025 21:41,235.6,0,0,0.01844,OFF
11/12/2025 21:41,235.6,0,0,0.01844,OFF
11/12/2025 21:41,235.6,0,0,0.01844,ON
11/12/2025 21:41,235.6,0,0,0.01844,ON
11/12/2025 21:41,235.6,0,0,0.01844,ON
11/12/2025 21:41,235.6,0,0,0.01844,ON
11/12/2025 21:42,235.6,0,0,0.01844,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018451,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018462,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018473,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018484,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018495,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018506,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018517,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018528,ON
11/12/2025 21:42,239.8,0.082,7.9,0.018539,ON
11/12/2025 21:43,239.8,0.082,7.9,0.01855,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018561,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018572,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018583,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018594,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018605,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018616,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018627,ON
11/12/2025 21:43,239.8,0.082,7.9,0.018638,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018649,ON
11/12/2025 21:44,239.8,0.082,7.9,0.01866,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018671,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018682,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018693,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018704,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018715,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018726,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018737,ON
11/12/2025 21:44,239.8,0.082,7.9,0.018748,ON
11/12/2025 21:45,239.8,0.082,7.9,0.018758,ON
11/12/2025 21:45,239.8,0.082,7.9,0.018769,OFF
11/12/2025 21:45,239.8,0,0,0.018769,OFF
11/12/2025 21:45,239.8,0,0,0.018769,ON
11/12/2025 21:45,239.8,0,0,0.018769,ON
11/12/2025 21:45,239.8,0,0,0.018769,ON
11/12/2025 21:45,239.8,0,0,0.018769,ON
11/12/2025 21:45,239.8,0,0,0.018769,ON
11/12/2025 21:45,239.8,0.082,7.9,0.01878,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018791,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018802,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018813,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018824,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018835,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018846,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018857,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018868,ON
11/12/2025 21:46,239.8,0.082,7.9,0.018879,ON
11/12/2025 21:46,239.8,0.082,7.9,0.01889,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018901,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018912,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018923,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018934,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018945,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018956,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018967,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018978,ON
11/12/2025 21:47,239.8,0.082,7.9,0.018989,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019011,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019022,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019033,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019044,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019055,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019066,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019077,ON
11/12/2025 21:48,239.8,0.082,7.9,0.019088,OFF
11/12/2025 21:48,237,0,0,0.019088,OFF
11/12/2025 21:49,237,0,0,0.019088,ON
11/12/2025 21:49,237,0,0,0.019088,ON
11/12/2025 21:49,237,0,0,0.019088,ON
11/12/2025 21:49,237,0,0,0.019088,ON
11/12/2025 21:49,237,0,0,0.019088,ON
11/12/2025 21:49,237.5,0.883,105.3,0.019234,ON
11/12/2025 21:49,237.5,0.883,105.3,0.01938,ON
11/12/2025 21:49,237.5,0.883,105.3,0.019526,ON
11/12/2025 21:49,237.5,0.883,105.3,0.019673,ON
11/12/2025 21:50,237.5,0.883,105.3,0.019819,ON
11/12/2025 21:50,237.5,0.883,105.3,0.019965,ON
11/12/2025 21:50,237.5,0.883,105.3,0.020111,ON
11/12/2025 21:50,237.5,0.883,105.3,0.020258,ON
11/12/2025 21:50,239.3,0,0,0.020258,ON
11/12/2025 21:50,239.3,0,0,0.020258,ON
11/12/2025 21:50,239.3,0,0,0.020258,ON
11/12/2025 21:50,239.3,0,0,0.020258,ON
11/12/2025 21:50,239.3,0,0,0.020258,OFF
11/12/2025 21:50,239.3,0,0,0.020258,OFF
11/12/2025 21:51,239.3,0,0,0.020258,OFF
11/12/2025 21:51,239.3,0,0,0.020258,ON
11/12/2025 21:51,239.3,0,0,0.020258,ON
11/12/2025 21:51,239.3,0,0,0.020258,ON
11/12/2025 21:51,239.3,0,0,0.020258,ON
11/12/2025 21:51,240.3,0.084,7.9,0.020269,ON
11/12/2025 21:51,240.3,0.084,7.9,0.02028,ON
11/12/2025 21:51,240.3,0.084,7.9,0.020291,ON
11/12/2025 21:51,240.3,0.084,7.9,0.020302,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020312,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020323,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020334,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020345,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020356,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020367,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020378,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020389,ON
11/12/2025 21:52,240.3,0.084,7.9,0.0204,ON
11/12/2025 21:52,240.3,0.084,7.9,0.020411,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020422,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020433,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020444,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020455,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020466,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020477,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020488,ON
11/12/2025 21:53,240.3,0.084,7.9,0.020499,ON
11/12/2025 21:53,240.3,0.084,7.9,0.02051,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020521,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020532,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020543,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020554,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020565,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020576,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020587,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020598,ON
11/12/2025 21:54,240.3,0.084,7.9,0.020609,ON
11/12/2025 21:54,240.3,0.084,7.9,0.02062,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020631,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020642,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020653,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020664,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020675,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020686,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020697,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020707,ON
11/12/2025 21:55,240.3,0.084,7.9,0.020718,ON
11/12/2025 21:56,240.3,0.084,7.9,0.020729,ON
11/12/2025 21:56,240.3,0.084,7.9,0.02074,ON
11/12/2025 21:56,240.3,0.084,7.9,0.020751,ON
11/12/2025 21:56,240.3,0.084,7.9,0.020762,ON
11/12/2025 21:56,240.3,0.084,7.9,0.020773,ON
11/12/2025 21:56,240.3,0.084,7.9,0.020784,ON
11/12/2025 21:56,240.3,0.084,7.9,0.020795,ON
11/12/2025 21:56,242.2,0.887,278.7,0.021182,ON
11/12/2025 21:56,242.2,0.892,109.2,0.021334,ON
11/12/2025 21:56,242.2,0.892,109.2,0.021486,ON
11/12/2025 21:57,242.2,0.892,109.2,0.021637,ON
11/12/2025 21:57,242.2,0.892,109.2,0.021789,ON
11/12/2025 21:57,242.2,0.892,109.2,0.021941,ON
11/12/2025 21:57,242.2,0.892,109.2,0.022092,ON
11/12/2025 21:57,242.2,0.892,109.2,0.022244,ON
11/12/2025 21:57,242.2,0.892,109.2,0.022396,ON
11/12/2025 21:57,242.2,0.892,109.2,0.022547,ON
11/12/2025 21:57,242.2,0.892,109.2,0.022699,ON
11/12/2025 21:57,242.2,0.892,109.2,0.022851,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023002,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023154,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023306,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023457,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023609,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023761,ON
11/12/2025 21:58,242.2,0.892,109.2,0.023912,ON
11/12/2025 21:58,242.2,0.892,109.2,0.024064,ON
11/12/2025 21:58,242.2,0.892,109.2,0.024216,ON
11/12/2025 21:58,242.2,0.892,109.2,0.024367,ON
11/12/2025 21:59,242.2,0.892,109.2,0.024519,ON
11/12/2025 21:59,242.2,0.892,109.2,0.024671,ON
11/12/2025 21:59,242.2,0.892,109.2,0.024822,ON
11/12/2025 21:59,242.2,0.892,109.2,0.024974,ON
11/12/2025 21:59,242.2,0.892,109.2,0.025126,ON
11/12/2025 21:59,242.2,0.892,109.2,0.025277,ON
11/12/2025 21:59,242.2,0.892,109.2,0.025429,ON
11/12/2025 21:59,242.2,0.892,109.2,0.025581,ON
11/12/2025 21:59,242.2,0.892,109.2,0.025732,ON
11/12/2025 22:00,242.2,0.892,109.2,0.025884,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026036,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026187,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026339,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026491,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026642,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026794,ON
11/12/2025 22:00,242.2,0.892,109.2,0.026946,ON
11/12/2025 22:00,242.2,0.892,109.2,0.027097,ON
11/12/2025 22:00,242.2,0.892,109.2,0.027249,ON
11/12/2025 22:01,242.2,0.892,109.2,0.027401,ON
11/12/2025 22:01,242.2,0.892,109.2,0.027552,ON
11/12/2025 22:01,242.2,0.892,109.2,0.027704,ON
11/12/2025 22:01,242.2,0.892,109.2,0.027856,ON
11/12/2025 22:01,242.2,0.892,109.2,0.028007,ON
11/12/2025 22:01,242.2,0.892,109.2,0.028159,ON
11/12/2025 22:01,242.2,0.892,109.2,0.028311,ON
11/12/2025 22:01,242.2,0.892,109.2,0.028462,ON
11/12/2025 22:01,242.2,0.892,109.2,0.028614,ON
11/12/2025 22:02,242.2,0.892,109.2,0.028766,ON
11/12/2025 22:02,242.2,0.892,109.2,0.028917,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029069,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029221,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029372,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029524,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029676,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029827,ON
11/12/2025 22:02,242.2,0.892,109.2,0.029979,ON
11/12/2025 22:02,242.2,0.892,109.2,0.030131,ON
11/12/2025 22:03,242.2,0.892,109.2,0.030282,ON
11/12/2025 22:03,242.2,0.892,109.2,0.030434,ON
11/12/2025 22:03,242.2,0.892,109.2,0.030586,ON
11/12/2025 22:03,242.2,0.892,109.2,0.030737,ON
11/12/2025 22:03,242.2,0.892,109.2,0.030889,ON
11/12/2025 22:03,242.2,0.892,109.2,0.031041,ON
11/12/2025 22:03,242.2,0.892,109.2,0.031192,ON
11/12/2025 22:03,242.2,0.892,109.2,0.031344,ON
11/12/2025 22:03,242.2,0.892,109.2,0.031496,ON
11/12/2025 22:04,242.2,0.892,109.2,0.031647,ON
11/12/2025 22:04,242.2,0.892,109.2,0.031799,ON
11/12/2025 22:04,242.2,0.892,109.2,0.031951,ON
11/12/2025 22:04,242.2,0.892,109.2,0.032102,ON
11/12/2025 22:04,242.2,0.892,109.2,0.032254,ON
11/12/2025 22:04,242.2,0.892,109.2,0.032406,ON
11/12/2025 22:04,242.2,0.892,109.2,0.032557,ON
11/12/2025 22:04,242.2,0.892,109.2,0.032709,ON
11/12/2025 22:04,242.2,0.892,109.2,0.032861,ON
11/12/2025 22:04,242.2,0.892,109.2,0.033012,ON
11/12/2025 22:05,242.2,0.892,109.2,0.033164,ON
11/12/2025 22:05,242.2,0.892,109.2,0.033316,ON
11/12/2025 22:05,242.2,0.892,109.2,0.033467,ON
11/12/2025 22:05,242.2,0.892,109.2,0.033619,ON
11/12/2025 22:05,242.2,0.892,109.2,0.033771,ON
11/12/2025 22:05,242.2,0.892,109.2,0.033922,ON
11/12/2025 22:05,242.2,0.892,109.2,0.034074,ON
11/12/2025 22:05,242.2,0.892,109.2,0.034226,ON
11/12/2025 22:05,242.2,0.892,109.2,0.034377,ON
11/12/2025 22:06,242.2,0.892,109.2,0.034529,ON
11/12/2025 22:06,242.2,0.892,109.2,0.034681,ON
11/12/2025 22:06,242.2,0.892,109.2,0.034832,ON
11/12/2025 22:06,242.2,0.892,109.2,0.034984,ON
11/12/2025 22:06,242.2,0.892,109.2,0.035136,ON
11/12/2025 22:06,242.2,0.892,109.2,0.035287,ON
11/12/2025 22:06,242.2,0.892,109.2,0.035439,ON
11/12/2025 22:06,242.2,0.892,109.2,0.035591,ON
11/12/2025 22:06,242.2,0.892,109.2,0.035742,ON
11/12/2025 22:06,242.2,0.892,109.2,0.035894,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036046,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036197,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036349,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036501,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036652,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036804,ON
11/12/2025 22:07,242.2,0.892,109.2,0.036956,ON
11/12/2025 22:07,242.2,0.892,109.2,0.037107,ON
11/12/2025 22:07,242.2,0.892,109.2,0.037259,ON
11/12/2025 22:08,242.2,0.892,109.2,0.037411,ON
11/12/2025 22:08,242.2,0.892,109.2,0.037562,ON
11/12/2025 22:08,242.2,0.892,109.2,0.037714,ON
11/12/2025 22:08,242.2,0.892,109.2,0.037866,ON
11/12/2025 22:08,242.2,0.892,109.2,0.038017,ON
11/12/2025 22:08,242.2,0.892,109.2,0.038169,ON
11/12/2025 22:08,242.2,0.892,109.2,0.038321,ON
11/12/2025 22:08,242.2,0.892,109.2,0.038472,ON
11/12/2025 22:08,242.2,0.892,109.2,0.038624,ON
11/12/2025 22:08,242.2,0.892,109.2,0.038776,ON
11/12/2025 22:09,242.2,0.892,109.2,0.038927,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039079,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039231,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039382,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039534,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039686,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039837,ON
11/12/2025 22:09,242.2,0.892,109.2,0.039989,ON
11/12/2025 22:09,242.2,0.892,109.2,0.040141,ON
11/12/2025 22:10,242.2,0.892,109.2,0.040292,ON
11/12/2025 22:10,242.2,0.892,109.2,0.040444,ON
11/12/2025 22:10,242.2,0.892,109.2,0.040596,ON
11/12/2025 22:10,242.2,0.892,109.2,0.040747,ON
11/12/2025 22:10,242.2,0.892,109.2,0.040899,ON
11/12/2025 22:10,242.2,0.892,109.2,0.041051,ON
11/12/2025 22:10,242.2,0.892,109.2,0.041202,ON
11/12/2025 22:10,242.2,0.892,109.2,0.041354,ON
11/12/2025 22:10,242.2,0.892,109.2,0.041506,ON
11/12/2025 22:10,242.2,0.892,109.2,0.041657,ON
11/12/2025 22:11,242.2,0.892,109.2,0.041809,ON
11/12/2025 22:11,242.2,0.892,109.2,0.041961,ON
11/12/2025 22:11,242.2,0.892,109.2,0.042112,ON
11/12/2025 22:11,242.2,0.892,109.2,0.042264,ON
11/12/2025 22:11,242.2,0.892,109.2,0.042416,ON
11/12/2025 22:11,242.2,0.892,109.2,0.042567,ON
11/12/2025 22:11,242.2,0.892,109.2,0.042719,ON
11/12/2025 22:11,242.2,0.892,109.2,0.042871,ON
11/12/2025 22:11,242.2,0.892,109.2,0.043022,ON
11/12/2025 22:12,242.2,0.892,109.2,0.043174,ON
11/12/2025 22:12,242.2,0.892,109.2,0.043326,ON
11/12/2025 22:12,242.2,0.892,109.2,0.043477,ON
11/12/2025 22:12,242.2,0.892,109.2,0.043629,ON
11/12/2025 22:12,242.2,0.892,109.2,0.043781,ON
11/12/2025 22:12,242.2,0.892,109.2,0.043932,ON
11/12/2025 22:12,242.2,0.892,109.2,0.044084,ON
11/12/2025 22:12,242.2,0.892,109.2,0.044236,ON
11/12/2025 22:12,242.2,0.892,109.2,0.044387,ON
11/12/2025 22:12,242.2,0.892,109.2,0.044539,ON
11/12/2025 22:13,242.2,0.892,109.2,0.044691,ON
11/12/2025 22:13,242.2,0.892,109.2,0.044842,ON
11/12/2025 22:13,242.2,0.892,109.2,0.044994,ON
11/12/2025 22:13,242.2,0.892,109.2,0.045146,ON
11/12/2025 22:13,242.2,0.892,109.2,0.045297,ON
11/12/2025 22:13,242.2,0.892,109.2,0.045449,ON
11/12/2025 22:13,242.2,0.892,109.2,0.045601,ON
11/12/2025 22:13,242.2,0.892,109.2,0.045752,ON
11/12/2025 22:13,242.2,0.892,109.2,0.045904,ON
11/12/2025 22:14,242.2,0.892,109.2,0.046056,ON
11/12/2025 22:14,242.2,0.892,109.2,0.046207,ON
